name,lat,long
10/16 ART GALLERY,30.74824,76.78451
12/11 (Rally Chowk),30.68036,76.8523
16/10 ROSE GARDEN,30.74819,76.78425
17 chowk,30.73342,76.77971
39 Grain Market,30.74417,76.72341
3 BRD (Base Repair Depot),30.68861,76.78544
48 Motor Market/Jagatpura-,30.68565,76.76065
"AANCHAL INTERNATIONAL SCHOOL, SECTOR 41 D",30.73316,76.73662
Aanganwadi Building Mauli Jagran,30.69647,76.82844
"Aayushman bharat health and wellness centre, Daria",30.70004,76.81561
Aero City Block D,30.64933,76.74038
Air Force Station,30.6491,76.78964
"A.K.S.I.P.S. SMART SCHOOL,SECTOR 41B",30.73149,76.74357
AL1,30.72845,76.80983
AL11,30.7318,76.84833
AL3,30.75634,76.7546
AL4,30.72412,76.751
AL5,30.71998,76.77085
"AL6,10",30.70763,76.82828
AL7,30.71283,76.84252
"AL8,9",30.70897,76.83274
Ambika Florence,30.81433,76.71292
Amity University,30.643,76.7382
"Anganwadi 2 Creche near civil dispensary, Daddu majra",30.75815,76.73673
"Anganwadi Building no 1, Maloya Colony Chandigarh",30.75362,76.72003
"Anganwadi Building no 1 Near Police Post, Sector 56 Chandigarh",30.73934,76.71631
"Anganwadi Building no 2-3, New Indira Colony",30.7208,76.84413
"Anganwadi Building no 2, Maloya Colony Chandigarh",30.75541,76.72115
"Anganwadi Building no 3, Maloya Colony Chandigarh",30.75982,76.72415
Anganwadi centre near sant nirankari bhawan ramdarbar,30.69274,76.79325
Anganwadi centre near vishvakarma mandir ramdarbar,30.69222,76.79081
"ANGANWADI CENTRE NO-1, SECTOR-26, Bapu Dham",30.72017,76.81628
Anganwadi Centre Ramdarbar,30.68865,76.78998
"Anganwadi composite building no 3/4 near Community Centre, Daddu majra",30.75406,76.74058
"Anganwadi composite building no 3 near Community Centre, Daddu majra",30.75415,76.74014
"Anganwadi composite building no 4 near Community Centre, Daddu majra",30.75411,76.73968
"Anganwadi cum Creche Centre Building no 2, Sector 56 Chandigarh",30.74002,76.71837
"ANKUR NURSERY SCHOOL PANJAB UNIVERSITY, SECTOR 14, CHANDIGARH",30.75938,76.76304
Aroma,30.7306,76.77496
Attawa Chowk towards 43,30.7252,76.75063
Attawa Chowk towards Kissan Bhawan,30.72648,76.75259
Attawa/Sector 36/42,30.73072,76.74798
Attawa/Sector 42/36,30.72978,76.7487
BACK SIDE POLICE LINE Sector 26,30.72707,76.81359
Bakarpur,30.63294,76.76522
Balongi,30.73351,76.6954
Baltana,30.66808,76.82636
Bansepur/Omaxe Cassia,30.79041,76.7131
"BANYAN TREE SCHOOL, SECTOR-48",30.68981,76.76106
Bassi Light Point(U.T. Barrier),30.72173,76.7305
Behlana Old Airport,30.67522,76.79857
Bella Homes,30.60208,76.84867
Bell Factory,30.68658,76.83427
Bhabat,30.65498,76.80408
Bhaddal,30.92896,76.57639
