,name,lat,long
0,10/16  ART GALLERY,30.74824,76.78451
1,16/10  ROSE GARDEN,30.74819,76.78425
2,Sector 17/16 near Matka Chowk,30.7458,76.78462
3,Sector 10/09 near Matka Chowk,30.74782,76.7874
4,Sector 16/17 near Matka Chowk,30.7456,76.78395
5,Sector 9D/17,30.74545,76.78683
6,Sector 16/10 General Hospital,30.75143,76.7816
7,Sector 10/16 General Hospital,30.75156,76.78185
8,UT Secretariat Towards ISBT 43,30.74913,76.78968
9,Sector 9/17,30.74442,76.78766
10,12/11 (Rally Chowk),30.68036,76.8523
11,Sector 11/12 Rally Chowk Panchkula,30.6805,76.85212
12,Sector 12 Panchkula (Down),30.68343,76.85539
13,Sector 11/10 Panchkula,30.68787,76.85056
14,Sector 4/11,30.6874,76.85599
15,Sector 11/4,30.68784,76.85546
16,Sector 12 Panchkula (Up),30.684,76.86119
17,Sector 10/15 Panchkula,30.68781,76.84431
18,Sector 15/10 Panchkula,30.68774,76.84412
19,Sector 21 Market Panchkula,30.67555,76.86416
20,17 chowk,30.73342,76.77971
21,Sector 21A/22,30.73263,76.77851
22,Sector 17/18,30.73432,76.78109
23,ISBT 17 (Sector 22/17),30.73506,76.77998
24,Sector 18/21,30.73124,76.78176
25,ISBT 17,30.73637,76.77837
26,Sector 22/17,30.73597,76.7774
27,Sector 21/22 Aroma,30.73074,76.77586
28,Sector 21/18,30.72973,76.78282
29,Aroma,30.7306,76.77496
30,39 Grain Market,30.74417,76.72341
31,Sector 39/56,30.74199,76.72335
32,Sector 56/39,30.74122,76.7237
33,Maloya Mod/Anaj Mandi Towards Maloya,30.74662,76.72703
34,Maloya Mod/Anaj Mandi Towards Water Works,30.74701,76.7271
35,Sector 39 Market,30.74344,76.7287
36,Sec-39/Water Works--13 C,30.7472,76.72812
37,Sec-39/Water Works--13 A Towards ISBT 43,30.74698,76.72843
38,Sector 39/40 Towards Sector 25 West,30.73968,76.73054
39,Sector 40/39,30.73979,76.7314
40,3 BRD (Base Repair Depot),30.68861,76.78544
41,Ram Darbar,30.69344,76.78826
42,Industrial Area Phase 2,30.69591,76.78643
43,Fire Brigade Phase-2 Towards Ramdarbar,30.69655,76.78643
44,Fire Brigade Phase-2 Towards Sector 31,30.69668,76.78634
45,Kaali Baari Mandir towards 47,30.69511,76.77899
46,Kaali Baari Mandir towards 3BRD,30.69551,76.77887
47,Industrial Area Phase 2 in front Tata Motors,30.69905,76.78505
48,Industrial Area Phase 2 near passport office,30.69934,76.78482
49,Sector 47 Outer Towards Ramdarbar,30.69254,76.77154
50,48 Motor Market/Jagatpura-,30.68565,76.76065
51,Jagatpura/ 48 Motor Market,30.68547,76.76079
52,Faidan Village,30.68844,76.76542
53,Sector 48/49 (U.T. Border) (Down),30.68778,76.74991
54,Sector 48/49 (UT Border) (Up),30.68787,76.74983
55,Sector 49 Market (UP),30.69349,76.75301
56,Sector 47 Market - Up,30.69573,76.7698
57,Sector 47 Market (Down),30.69639,76.76869
58,Sector 65/Phase 11,30.67692,76.74873
59,Sector 41/40 Market,30.7332,76.73481
60,Sector 41 Market Towards 40,30.73199,76.73793
61,Sector 41/40,30.73508,76.73799
62,Sector 41 Market Towards 42,30.73149,76.73837
63,Sector 40/41,30.73529,76.73782
64,Sector 40C/41,30.73172,76.73233
65,Sector 41/42,30.73019,76.74052
66,Sector 40 Market,30.73807,76.73341
67,Sector 41A/40B,30.73729,76.74134
68,Furniture Chowk(UT Border),30.72729,76.73384
69,Mauli Jagran,30.68816,76.82378
70,Sector 17/8 Panchkula,30.69937,76.83945
71,Sector 8/17 Panchkula,30.69939,76.83959
72,Railway Station (Chandigarh),30.70261,76.81909
73,Sector 16/9 Panchkula,30.69384,76.84093
74,Bell Factory,30.68658,76.83427
75,Sector 9/16 Panchkula,30.69389,76.84115
76,Kalagram Up,30.70827,76.83086
77,Raipur Kalan (U.T. Border),30.6846,76.82701
78,Housing Board Chowk Towards ISBT 43,30.7076,76.83548
79,Vikas Nagar,30.69008,76.81407
80,Colony No. 4,30.70052,76.80334
81,CTU Depot 2,30.71025,76.81256
82,CTU Workshop,30.71101,76.81358
83,CTU Workshop (UP),30.71099,76.8117
84,Railway Crossing Towards 28 Grain Market,30.7125,76.8205
85,Railway Crossing towards Railway Station,30.71185,76.82229
86,Railway Crossing Towards Manimajra,30.7124,76.82295
87,Aero City Block D,30.64933,76.74038
88,Manav International School,30.64585,76.74016
89,Sector 82,30.65544,76.73961
90,Amity University,30.643,76.7382
91,Sector 82/66A,30.65609,76.73885
92,Sector 66A/82,30.65624,76.73909
93,Sector 82A,30.63836,76.73367
94,Sector 83/Saini Majra,30.64867,76.72541
95,New Airport Chowk- Mohali (Up),30.64401,76.75549
96,Sector 82/81,30.66287,76.73339
97,Air Force Station,30.6491,76.78964
98,Dayalpura,30.63941,76.78723
99,Nabha Village,30.64192,76.8008
100,Victoria Enclave Zirakpur,30.65212,76.80331
101,Nabha Sahib,30.64164,76.80126
102,Bhabat,30.65498,76.80408
103,Nabha Sahib (Down),30.64016,76.80429
104,Lohgarh,30.64437,76.80773
105,New Airport,30.66836,76.78508
106,Jhurheri,30.66798,76.77983
107,Sector 41/37,30.73455,76.74489
108,Attawa/Sector 36/42,30.73072,76.74798
109,Sector 37/41,30.73553,76.74441
110,Attawa/Sector 42/36,30.72978,76.7487
111,Sector 37/36,30.73301,76.7488
112,SGGS-26 Girls College,30.73134,76.81019
113,BACK SIDE POLICE LINE Sector 26,30.72707,76.81359
114,SGGS-26 College,30.73255,76.80957
115,"SGGS COLLEGIATE PUBLIC SCHOOL, SECTOR-26, Chandigarh",30.73249,76.8086
116,Sector 27/26,30.72576,76.80446
117,Sector 26/27,30.72719,76.80326
118,Sector 26/28 Grain Market,30.72252,76.8079
119,Sector 28/26 Grain Market,30.7224,76.80765
120,Sector 27A/19,30.72839,76.80047
121,Sector 19/27A,30.72851,76.80038
122,IT Park Up,30.72975,76.84327
123,Mata Mansa Devi,30.72377,76.85816
124,Indira Colony Up,30.7202,76.84075
125,Kishangarh Up,30.73101,76.83227
126,Indira Colony Down,30.72022,76.83785
127,Saketri,30.74624,76.84447
128,Kishangarh Down,30.73093,76.83029
129,Mani Majra Fun Republic(UP),30.71421,76.84435
130,Mani Majra,30.71343,76.84331
131,Mani Majra Town,30.71971,76.82995
132,Depot 3 Workshop,30.75378,76.74884
133,Daddu Majra Colony,30.75456,76.74626
134,Sector 38/25 Light Point,30.75071,76.74856
135,Sector 24/25,30.74837,76.75907
136,Sector 25/24,30.74781,76.75808
137,Sector 25/38 Light Point,30.74733,76.75227
138,DM Bridge,30.75818,76.74405
139,Sector 38/25,30.74712,76.75196
140,Dhanas near Bridge,30.76078,76.74459
141,Sector 25 near Dental College,30.74624,76.75545
142,Attawa Chowk towards 43,30.7252,76.75063
143,Attawa Chowk towards Kissan Bhawan,30.72648,76.75259
144,Sector 42/43,30.72284,76.74663
145,Sector 43/42-,30.72191,76.74645
146,Sector 43C,30.71976,76.74816
147,Sector 43/42,30.72191,76.74554
148,Sector 42 Market towards ISBT 43,30.72468,76.744
149,Sector 35/36 Flower Market,30.72877,76.75648
150,Sector 42 Market towards Sector 41,30.72539,76.74331
151,Sector 33/34 Labour chowk,30.71969,76.77228
152,Sector 34/21,30.72143,76.77233
153,Sector 20/33,30.71934,76.77462
154,Sector 34/33,30.71675,76.76719
155,Sector 33/34,30.71656,76.76736
156,Sector 34 Market,30.72028,76.76514
157,Sector 21/34,30.72513,76.76961
158,Sector 33 Market,30.71425,76.76931
159,Sector 34A/35B JW Marriot,30.72477,76.76619
160,Sector 35B/34A JW Marriot,30.72513,76.76632
161,Kalagram Down,30.7097,76.82869
162,Housing Board Chowk,30.70811,76.83675
163,Housing Board Towards 9/16,30.70717,76.83773
164,Modern Complex,30.71616,76.83102
165,Housing Board Chowk Towards Panchkula,30.70901,76.83895
166,Mani Majra Fun Republic,30.71211,76.84389
167,Sector 7/8 Panchkula,30.703,76.84338
168,Ambika Florence,30.81433,76.71292
169,Rasulpur,30.81044,76.71691
170,Omaxe Phase-1/2,30.81224,76.70558
171,Omax Phase-II,30.80941,76.70632
172,Doda Majra,30.81014,76.72105
173,Rani Majra,30.80863,76.703
174,Risort Lake,30.82223,76.72588
175,Saini Majra,30.80088,76.70673
176,DLF Chowk,30.81069,76.73015
177,Eco City-2 Block C Takipur,30.82979,76.71605
178,Manauli,30.64243,76.7236
179,HDFC Head Office Chowk,30.63455,76.72671
180,Dadu Majra Village,30.75939,76.73487
181,Dadu Majra Colony,30.75402,76.73659
182,Sector 38 West,30.75279,76.73758
183,Togan,30.76736,76.73254
184,Sector 38/39,30.74835,76.73513
185,Sector 39/38 west,30.74746,76.73553
186,Milk Colony Towards Barrier,30.76472,76.74688
187,Maloya,30.7522,76.7176
188,New Maloya Colony,30.75985,76.71566
189,Phase-6 (U.T Border) C,30.73847,76.71495
190,Phase-6 (U.T Border) A,30.7382,76.71463
191,Phase 6 - 35,30.73747,76.71565
192,Sector 55 Phase 1 (35),30.7323,76.71916
193,Sector 55/Phase-1,30.73123,76.71999
194,Hallo Majra (UP),30.69384,76.79988
195,Hallo Majra (Down),30.69408,76.80027
196,Paultry Farm,30.69604,76.8001
197,Tribune Chowk / Industrial Phase 1/2,30.70167,76.79236
198,Industrial Area Phase 2/Phase 1,30.7017,76.79192
199,Transport Chowk (Up),30.71674,76.81352
