0,1,2
1,10/16 ART GALLERY,10/16 ART GALLERY
2,12/11 (Rally Chowk),S115
3,16/10 ROSE GARDEN,S604
4,17 chowk.,S617
5,39 Grain Market.,S714
6,3 BRD (Base Repair Depot),S500
7,48 Motor Market/Jagatpura-,S350
8,"AANCHAL INTERNATIONAL SCHOOL, SECTOR 41 D",S880
9,Aanganwadi Building Mauli Jagran.,S919
10,"Aayushman bharat health and. wellness centre, Daria",S918
11,Aero City Block D,S999
12,Air Force Station,S623
13,"A.K.S.I.P.S. SMArT SCHOOL,SECTOR 41B",S879
14,AL1,S635
15,AL11,S645
16,AL2,S646
17,AL3,S647
18,AL4,S648
19,AL5,S649
20,"AL6,10",S650
21,AL7,S652
22,"AL8,9",S651
23,Ambika Florence,S1010
41,Attawa Chowk towards 43,S932
42,Attawa Chowk towards Kissan Bhawan,S933
43,Attawa/Sector 36/42,S206
44,Attawa/Sector 42/36,S210
45,BACK SIDE POLICE LINE Sector 26,S482
46,Bakarpur,S138
47,Balongie,S141
48,Baltana,S383
49,Bansepur/Omaxe Cassia.,S1013
50,"BANYAN TREE SCHOOL, SECTOR-48",S798
51,Bassi Light Point(U.T. Barrier),S302
52,Behlana Old Airport,S7
53,Behlana Request,S6
54,Bella Homes,S1019
55,Bell Factory,S474
56,Bhabat,S629
57,Bhaddal,Bhaddal
58,Bhago Majra,S307
59,Bhankarpur (Down),S541
60,Bhankarpur (Up),S140
61,Bird Park,S672
62,Block,S160
63,"B.M.D. PUBLIC SCHOOL, SECTOR 63",S863
64,Boothgarh/Kartarpur,S163
65,BRITISH (SANJAY) PUBLIC SCHOOL . SECTOR 44,S851
66,Brodhi,S559
67,Cantonment,S25
68,"CARMEL CONVENT SCHOOL SECTOR - 9B, CHANDIGARH",S745
69,C.C.E.T. 26,S721
70,"CENTRAL POULTRY FARM, INDUSTRIAL AREA, PHASE-1",S793
71,CHANDIGARH BAPTIST SCHOOL. SECTOR 45,S855
72,Chappar Chiri,S274
73,Chatt Morr,S389
74,Chatt Village,S386
75,Chawala Hospital Chowk (Down),S311
76,Chawala Hospital Chowk (Up),S539
77,Chhatbir Zoo Parking,S598
78,Chhattbir ZOO,S387
79,"CITY BANQUET, (OLD JANJ GHAR) SECTOR -23D, Chandigarh",S762
80,Colony No. 4,S91
81,Command Hospital (Down),S92
82,Command Hospital (Up),S93
83,"COMMUNITY CENTER, DHANAS",S723
84,"COMMUNITY CENTER, MILK COLONY, DHANAS",S724
85,COMMUNITY CENTER VILLAGE MALOYA,S867
94,"COMMUNITY CENTRE, SECTOR-22B, Chandigarh",S757
95,COMMUNITY CENTRE SECTOR 25-B,S729
96,COMMUNITY CENTRE SECTOR 38 WEST,S877
97,"COMPOSITE ANGANWADI CENTRE, BAPU DHAM COLONY, SECTOR-26",S912
98,"CRECHE NEAR GOVT MODE! Sr Sec SCHOOL, SECTOR - 22A",S756
99,CTU Depot 2,S621
100,CTU Workshop,S39
101,CTU Workshop towards railway station,S1025
102,CTU Workshop (UP),S618
103,CVRM DAV SchooI,S1022
104,D1,S633
105,D2,S634
106,D3,S641
107,D4,S642
108,D5,S643
109,D6,S644
110,Daddu Majra Colony,S175
111,Dadu Majra Colony,S356
112,Dadu Majra Village,S137
113,Daffarpur,S1018
114,Daun (Down),S162
115,Daun (Up),S164
127,DEV SAMAJ COLLEGE FOR WOMEN SECTOR 45,S910
128,Dhakoli,S340
129,Dhakoli Border,S323
130,Dhanas Colony,S717
131,Dhanas (Down),S101
132,Dhanas Lake,S103
133,Dhanas near Bridge,S971
134,Dhanas (Up),S102
135,DLF Chowk,S689
136,DM Bridge,S268
137,Doda Majra,S690
138,Dolphin Chowk,S684
139,DRONACHARYA SPORTS STADIUM.VILLAGE DADUMAJRA,S871
140,Eco City-2 Block C Takipur,S983
141,Eco City-2 Block D,S982
142,ECO City New Chandigarh.,S624
143,Elante Mall (Down).,S96
144,Elante Mall (Up),S95
145,Faidan Village,S966
146,Fatehpur,S560
147,Ferozpur (Down),S156
148,Ferozpur (Up),S158
149,Fire Brigade Phase-2. Towards Ramdarbar.,S977
150,Fire Brigade Phase-2 Towards Sector 31,S978
151,Focal Point/Silver City.,S1016
152,Fortis Hospital.,S314
153,Fortis-PSEB (Down),S315
154,Franco,S168
155,Furniture Chowk(UT Border).,S276
156,Geeta Bhawan Chowk.,S683
157,"G.G.M.S.S.SCHOOL SECTOR-18C, Chandigarh",S767
158,"G.G.M.S.S.SCHOOL SECTOR-20B, Chandiqarh",S771
159,G.M.C.H. 32,S17
160,"G.M.S.S.SCHOOL, SECTOR-19C, Chandigarh",S769
